,model_id,ntrees,learn_rate,max_depth,sample_rate,col_sample_rate,score_each_iteration,seed,stopping_rounds,stopping_metric,stopping_tolerance
143,GBM_grid_1_AutoML_20190425_054218_model_12,76,0.8,3,0.5,0.4,False,7071699074500013340,0,deviance,0.011609086505314302
144,GBM_grid_1_AutoML_20190425_054218_model_13,77,0.1,9,0.6,1.0,False,-1195096968689268162,0,deviance,0.011609086505314302
145,GBM_grid_1_AutoML_20190425_054218_model_14,356,0.005,7,0.9,1.0,False,3390928130285025615,0,deviance,0.011609086505314302
146,GBM_grid_1_AutoML_20190425_054218_model_15,269,0.01,11,1.0,1.0,False,-84336316991849457,0,deviance,0.011609086505314302
147,GBM_grid_1_AutoML_20190425_054218_model_16,61,0.1,10,0.9,0.4,False,2148488315449010706,0,deviance,0.011609086505314302
148,GBM_grid_1_AutoML_20190425_054218_model_17,89,0.08,17,0.8,0.4,False,-7441321593463288290,0,deviance,0.011609086505314302
149,GBM_grid_1_AutoML_20190425_054218_model_18,534,0.001,7,0.6,0.7,False,3773834947236597187,0,deviance,0.011609086505314302
150,GBM_grid_1_AutoML_20190425_054218_model_19,325,0.008,10,0.9,0.4,False,-3544218620295199818,0,deviance,0.011609086505314302
151,GBM_grid_1_AutoML_20190425_054218_model_2,317,0.008,16,1.0,0.7,False,6902512985313716301,0,deviance,0.011609086505314302
152,GBM_grid_1_AutoML_20190425_054218_model_20,332,0.008,17,0.6,1.0,False,8411040866066527708,0,deviance,0.011609086505314302
153,GBM_grid_1_AutoML_20190425_054218_model_22,536,0.001,6,0.5,0.4,False,1937243602340272077,0,deviance,0.011609086505314302
154,GBM_grid_1_AutoML_20190425_054218_model_23,62,0.1,16,1.0,0.4,False,8314364849112387478,0,deviance,0.011609086505314302
155,GBM_grid_1_AutoML_20190425_054218_model_24,64,0.1,16,0.5,0.7,False,-1083365813058782793,0,deviance,0.011609086505314302
156,GBM_grid_1_AutoML_20190425_054218_model_25,61,0.8,3,0.6,0.7,False,4016813820312959408,0,deviance,0.011609086505314302
157,GBM_grid_1_AutoML_20190425_054218_model_26,257,0.008,13,0.9,0.4,False,-2875707409119732154,0,deviance,0.011609086505314302
158,GBM_grid_1_AutoML_20190425_054218_model_27,55,0.1,11,0.9,0.7,False,2317704150590274184,0,deviance,0.011609086505314302
159,GBM_grid_1_AutoML_20190425_054218_model_28,51,0.5,10,0.6,0.7,False,-6279129095150142694,0,deviance,0.011609086505314302
160,GBM_grid_1_AutoML_20190425_054218_model_29,39,0.005,3,0.7,0.7,False,-4660574669981222251,0,deviance,0.011609086505314302
161,GBM_grid_1_AutoML_20190425_054218_model_3,54,0.08,15,0.8,0.4,False,8054614333856496531,0,deviance,0.011609086505314302
162,GBM_grid_1_AutoML_20190425_054218_model_30,1,0.1,8,0.6,1.0,False,-9111061617578221222,0,deviance,0.011609086505314302
163,GBM_grid_1_AutoML_20190425_054218_model_4,75,0.001,15,0.6,0.4,False,1834427129776346514,0,deviance,0.011609086505314302
164,GBM_grid_1_AutoML_20190425_054218_model_5,81,0.5,8,0.9,0.4,False,-5434423346248332098,0,deviance,0.011609086505314302
165,GBM_grid_1_AutoML_20190425_054218_model_6,30,0.5,13,0.5,1.0,False,2189882721986307854,0,deviance,0.011609086505314302
166,GBM_grid_1_AutoML_20190425_054218_model_7,70,0.05,17,0.9,0.4,False,-8214058923898992175,0,deviance,0.011609086505314302
167,GBM_grid_1_AutoML_20190425_054218_model_8,556,0.001,15,0.6,0.4,False,-2584477217195001901,0,deviance,0.011609086505314302
168,GBM_grid_1_AutoML_20190425_054218_model_9,74,0.5,15,0.9,0.7,False,-4779477671221946436,0,deviance,0.011609086505314302
